dataset,ATE,lb,ub,DGPid,trueATE
low1,0.11867723,0.036600493,0.200753967,17,0.106696525
low10,-0.791385547,-0.981075698,-0.601695395,59,-0.8
low100,2.133884546,1.489597395,2.778171696,62,2
low1000,0.127369646,0.043697533,0.21104176,17,0.106696525
low1001,1.944024504,1.460437074,2.427611934,61,2
low1002,-2.063330629,-2.938825506,-1.187835752,63,-2
low1003,0.128762521,0.09882477,0.158700273,35,0.122643948
low1004,3.818264677,3.514625651,4.121903704,64,3.625
low1005,0.107885048,0.036005469,0.179764626,19,0.120725664
low1006,2.884952995,2.170137031,3.599768959,32,2.527390408
low1007,2.470592033,1.787744101,3.153439965,32,2.527390408
low1008,1.979894923,1.591228898,2.368560948,61,2
low1009,0.099828912,0.068443368,0.131214455,35,0.122643948
low101,0.182102766,0.125206762,0.238998769,20,0.156759654
low1010,-1.827940025,-2.605931113,-1.049948938,63,-2
low1011,0.185069911,0.108482975,0.261656846,17,0.106696525
low1012,0.101215692,0.075234481,0.127196903,36,0.094084067
low1013,-0.614296815,-0.82893304,-0.39966059,59,-0.8
low1014,0.087459082,0.060659204,0.114258961,36,0.094084067
low1015,0.556077843,0.383358034,0.728797652,57,0.5
low1016,0.134886668,0.105704487,0.16406885,35,0.122643948
low1017,0.069806709,0.038509271,0.101104148,34,0.049629693
low1018,0.462781493,0.281861767,0.64370122,57,0.5
low1019,1.711519555,1.204400495,2.218638614,61,2
low102,10.28357496,9.07529889,11.49185102,30,10
low1020,0.192714338,0.113973748,0.271454927,18,0.147047059
low1021,0.085522916,0.059038627,0.112007204,36,0.094084067
low1022,0.11716542,0.085068886,0.149261955,35,0.122643948
low1023,3.944519788,3.599053848,4.289985728,64,3.625
low1024,0.117872628,0.085898482,0.149846774,35,0.122643948
low1025,0.191127852,0.103894136,0.278361568,17,0.106696525
low1026,0.09200962,0.066281002,0.117738237,36,0.094084067
low1027,0.101873335,0.082440139,0.121306532,33,0.099589875
low1028,2.014012811,1.592991129,2.435034493,61,2
low1029,0.135311036,0.069712265,0.200909807,19,0.120725664
low103,0.178266971,0.114249047,0.242284894,20,0.156759654
low1030,1.421740349,0.285837642,2.557643055,31,2
low1031,-1.691161218,-2.92601111,-0.456311326,63,-2
low1032,2.310468097,1.603396766,3.017539428,32,2.527390408
low1033,0.121010484,0.093061913,0.148959056,35,0.122643948
low1034,0.196581154,0.114445874,0.278716434,17,0.106696525
low1035,0.101229561,0.020182592,0.18227653,17,0.106696525
low1036,0.111351324,0.085900509,0.136802139,36,0.094084067
low1037,0.834310556,0.532152137,1.136468976,58,1
low1038,2.266777936,1.778689877,2.754865996,62,2
low1039,0.38055378,0.177514084,0.583593476,57,0.5
low104,1.928969771,1.437006956,2.420932585,61,2
low1040,0.098856807,0.068170692,0.129542922,35,0.122643948
low1041,0.444319094,0.259991232,0.628646955,57,0.5
low1042,3.669186222,3.345760173,3.992612271,64,3.625
low1043,9.598838658,8.435836775,10.76184054,30,10
